address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
2629 75 TH Ave,Oakland  CA 94605,2,1.0,910,1941,37.766287,-122.174004,http://www.redfin.com/CA/Oakland/2629-75th-Ave-94605/home/1607705,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24792995,http://www.zillow.com/homedetails/2629-75th-Ave-Oakland-CA-94605/24792995_zpid/,http://www.zillow.com/homedetails/2629-75th-Ave-Oakland-CA-94605/24792995_zpid/#charts-and-data,http://www.zillow.com/homes/24792995_zpid/,http://www.zillow.com/homes/comps/24792995_zpid/,24792995,255607,03/12/2016,1925,03/13/2016,0
1245 80th Ave,Oakland  CA 94621,2,1.0,912,1927,37.755334,-122.184366,,,http://www.zillow.com/homedetails/1245-80th-Ave-Oakland-CA-94621/24796631_zpid/,http://www.zillow.com/homedetails/1245-80th-Ave-Oakland-CA-94621/24796631_zpid/#charts-and-data,http://www.zillow.com/homes/24796631_zpid/,http://www.zillow.com/homes/comps/24796631_zpid/,24796631,272353,03/12/2016,,,0.945026903989,150000,12/17/2015,12.0
1156 83rd Ave,Oakland  CA 94621,2,1.0,892,1946,37.75283,-122.181895,,,http://www.zillow.com/homedetails/1156-83rd-Ave-Oakland-CA-94621/24797128_zpid/,http://www.zillow.com/homedetails/1156-83rd-Ave-Oakland-CA-94621/24797128_zpid/#charts-and-data,http://www.zillow.com/homes/24797128_zpid/,http://www.zillow.com/homes/comps/24797128_zpid/,24797128,287842,03/12/2016,,,1.02484104745,235000,11/17/2015,6.0
1054 85th Ave,Oakland  CA 94621,2,1.0,1092,1947,37.750516,-122.182494,,,http://www.zillow.com/homedetails/1054-85th-Ave-Oakland-CA-94621/24797192_zpid/,http://www.zillow.com/homedetails/1054-85th-Ave-Oakland-CA-94621/24797192_zpid/#charts-and-data,http://www.zillow.com/homes/24797192_zpid/,http://www.zillow.com/homes/comps/24797192_zpid/,24797192,255145,03/12/2016,,,1.18425400791,200000,02/09/2016,9.0
1331 88th Ave,Oakland  CA 94621,2,1.0,903,1915,37.750836,-122.176784,,,http://www.zillow.com/homedetails/1331-88th-Ave-Oakland-CA-94621/24797217_zpid/,http://www.zillow.com/homedetails/1331-88th-Ave-Oakland-CA-94621/24797217_zpid/#charts-and-data,http://www.zillow.com/homes/24797217_zpid/,http://www.zillow.com/homes/comps/24797217_zpid/,24797217,285119,03/12/2016,,,1.07830545977,285000,12/11/2015,5.0
1328 89th Ave,Oakland  CA 94621,2,1.0,876,1920,37.749789,-122.175988,,,http://www.zillow.com/homedetails/1328-89th-Ave-Oakland-CA-94621/24797267_zpid/,http://www.zillow.com/homedetails/1328-89th-Ave-Oakland-CA-94621/24797267_zpid/#charts-and-data,http://www.zillow.com/homes/24797267_zpid/,http://www.zillow.com/homes/comps/24797267_zpid/,24797267,259951,03/12/2016,,,1.14503987339,255000,12/31/2015,5.0
2541 82nd Ave,Oakland  CA 94605,2,1.0,1059,1948,37.762665,-122.165476,,,http://www.zillow.com/homedetails/2541-82nd-Ave-Oakland-CA-94605/24793324_zpid/,http://www.zillow.com/homedetails/2541-82nd-Ave-Oakland-CA-94605/24793324_zpid/#charts-and-data,http://www.zillow.com/homes/24793324_zpid/,http://www.zillow.com/homes/comps/24793324_zpid/,24793324,310020,03/12/2016,,,0.528773547147,300000,02/23/2016,5.0
6328 Macarthur Blvd,Oakland  CA 94605,3,1.5,1066,1940,37.77436,-122.179916,,,http://www.zillow.com/homedetails/6328-Macarthur-Blvd-Oakland-CA-94605/24785475_zpid/,http://www.zillow.com/homedetails/6328-Macarthur-Blvd-Oakland-CA-94605/24785475_zpid/#charts-and-data,http://www.zillow.com/homes/24785475_zpid/,http://www.zillow.com/homes/comps/24785475_zpid/,24785475,354482,03/12/2016,,,0.644505815887,151500,12/01/2015,11.0
principal_arv,mao_light,mao_med,mao_high
225214,115799.8,106699.8,93049.8

